ID,RegioS,Perioden,Totaal_2,Reactietijd0Tot15Minuten_3,Reactietijd15Tot30Minuten_4,Reactietijd30Tot45Minuten_5,Reactietijd45Tot60Minuten_6,Reactietijd60Tot120Minuten_7,ReactietijdMeerDan120Minuten_8
3193,GM0373,2016JJ00,520,377,111,19,6,7,0
3206,GM0373,2017JJ00,559,426,104,20,6,2,1
3219,GM0373,2018JJ00,450,345,83,12,5,4,1
3232,GM0373,2019JJ00,397,293,84,15,2,3,0
3245,GM0373,2020JJ00,335,232,82,12,5,4,0
3268,GM0748,2015JJ00,812,730,60,9,4,7,2
3281,GM0748,2016JJ00,889,788,58,17,11,11,4
3294,GM0748,2017JJ00,879,778,74,8,7,11,1
3307,GM0748,2018JJ00,1066,925,101,22,8,9,1
3320,GM0748,2019JJ00,1917,1714,160,23,7,8,5
3333,GM0748,2020JJ00,1310,1130,126,30,7,14,3
3356,GM1859,2015JJ00,272,209,52,7,3,1,0
3369,GM1859,2016JJ00,326,262,45,11,6,2,0
3382,GM1859,2017JJ00,341,268,61,6,2,2,2
3395,GM1859,2018JJ00,365,300,54,6,1,4,0
3408,GM1859,2019JJ00,272,205,55,6,2,4,0
3421,GM1859,2020JJ00,289,226,50,7,2,4,0
3444,GM1721,2015JJ00,347,288,48,10,0,0,1
3457,GM1721,2016JJ00,486,403,64,14,1,3,1
3470,GM1721,2017JJ00,406,337,59,7,1,2,0
3483,GM1721,2018JJ00,389,319,58,9,2,1,0
3496,GM1721,2019JJ00,379,285,82,7,4,1,0
3509,GM1721,2020JJ00,395,309,65,12,5,4,0
3532,GM0753,2015JJ00,454,378,62,8,4,2,0
3545,GM0753,2016JJ00,509,404,84,11,6,3,1
3558,GM0753,2017JJ00,520,434,65,12,5,4,0
3571,GM0753,2018JJ00,573,479,76,14,3,1,0
3584,GM0753,2019JJ00,518,437,63,9,4,5,0
3597,GM0753,2020JJ00,503,442,46,10,4,1,0
3620,GM0209,2015JJ00,325,249,58,11,2,5,0
3633,GM0209,2016JJ00,373,289,71,8,1,4,0
3646,GM0209,2017JJ00,449,354,80,8,5,1,1
3659,GM0209,2018JJ00,433,329,93,7,2,0,2
3672,GM0209,2019JJ00,386,288,82,13,0,3,0
